大兴-天宫院南-天恒旭辉7号院,大兴-天宫院南-天恒旭辉7号院/37㎡/东西/3房间1卫/高楼层（7层）,整租·天恒旭辉7号院3房间东/西,2100元/月,https://bj.zu.ke.com/zufang/BJ2335372747746066432.html
房山-良乡-西潞园一里,房山-良乡-西潞园一里/37㎡/南/1室1厅1卫/中楼层（6层）,整租·西潞园一里1室1厅南,2100元/月,https://bj.zu.ke.com/zufang/BJ2337480730730569728.html
昌平-沙河-北街家园八区,昌平-沙河-北街家园八区/37㎡/东/1室0厅1卫/地下室（17层）,整租·北街家园八区1室0厅东,2100元/月,https://bj.zu.ke.com/zufang/BJ2336122447071281152.html
房山-良乡-良乡中路26号院,房山-良乡-良乡中路26号院/53㎡/南北/2室1厅1卫/中楼层（6层）,整租·良乡中路26号院2室1厅南/北,2100元/月,https://bj.zu.ke.com/zufang/BJ2320224239145730048.html
昌平-昌平其它-桥梁厂小区,昌平-昌平其它-桥梁厂小区/52㎡/南/2室1厅1卫/高楼层（6层）,整租·桥梁厂小区2室1厅南,2100元/月,https://bj.zu.ke.com/zufang/BJ2324639930028408832.html
门头沟-滨河西区-迎晖北苑,门头沟-滨河西区-迎晖北苑/42㎡/南/1室1厅1卫/中楼层（26层）,整租·迎晖北苑1室1厅南,2100元/月,https://bj.zu.ke.com/zufang/BJ2312795774104649728.html
房山-良乡-建设巷小区,房山-良乡-建设巷小区/63㎡/南北/2室1厅1卫/高楼层（6层）,整租·建设巷小区2室1厅南/北,2100元/月,https://bj.zu.ke.com/zufang/BJ2315693185080770560.html
大兴-天宫院南-众美MIMO公馆,大兴-天宫院南-众美MIMO公馆/55㎡/南/1房间1卫/中楼层（5层）,整租·众美MIMO公馆1房间南,2100元/月,https://bj.zu.ke.com/zufang/BJ2325209784007540736.html
房山-长阳-加州水郡金桥国际酒店,房山-长阳-加州水郡金桥国际酒店/36㎡/南/未知室0厅0卫/低楼层（16层）,整租·加州水郡金桥国际酒店0室0厅南,2100元/月,https://bj.zu.ke.com/zufang/BJ2333256597175795712.html
乐乎城市青年社区·海子角,仅剩2间/23-25㎡/2间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角大咖时代2.01室1厅,2200-2300元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角天空之城2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角黄色风暴2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
大兴-旧宫-清乐园,大兴-旧宫-清乐园/29㎡/北/1室0厅1卫/低楼层（1层）,整租·清乐园1室0厅北,2200元/月,https://bj.zu.ke.com/zufang/BJ2336919407386689536.html
门头沟-滨河西区-月季园东里,门头沟-滨河西区-月季园东里/42㎡/南北/1室1厅1卫/高楼层（6层）,整租·月季园东里1室1厅南/北,2200元/月,https://bj.zu.ke.com/zufang/BJ2338194314280042496.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角天空之城2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角灰色空间2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·嘉华学院,仅剩5间/25㎡/5间在租/1室1厅1卫,独栋·乐乎城市青年社区嘉华学院蓝色梦幻2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/14940.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角黄色风暴2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角粉妆玉砌2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角紫玉成烟2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角冰雪奇缘2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角天空之城2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角绿野仙踪2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
乐乎城市青年社区·海子角,仅剩1间/23㎡/1间在租/1室1厅1卫,独栋·乐乎城市青年社区海子角粉妆玉砌2.01室1厅,2200元/月,https://bj.zu.ke.com/apartment/959.html
昌平-东关-东关北里小区,昌平-东关-东关北里小区/60㎡/南/2室1厅1卫/高楼层（6层）,整租·东关北里小区2室1厅南,2200元/月,https://bj.zu.ke.com/zufang/BJ2304780517586763776.html
通州-马驹桥-珠江逸景,通州-马驹桥-珠江逸景/98㎡/西/1室1厅1卫/低楼层（14层）,整租·珠江逸景1室1厅西,2200元/月,https://bj.zu.ke.com/zufang/BJ2318199682570133504.html
昌平-东关-东关北里小区,昌平-东关-东关北里小区/60㎡/南/2室1厅1卫/高楼层（6层）,整租·东关北里小区2室1厅南,2200元/月,https://bj.zu.ke.com/zufang/BJ2304780517586763776.html
通州-马驹桥-珠江逸景,通州-马驹桥-珠江逸景/98㎡/西/1室1厅1卫/低楼层（14层）,整租·珠江逸景1室1厅西,2200元/月,https://bj.zu.ke.com/zufang/BJ2318199682570133504.html
顺义-顺义其它-焦各庄街2号院,顺义-顺义其它-焦各庄街2号院/61㎡/西/2房间1卫/中楼层（12层）,整租·焦各庄街2号院2房间西,2200元/月,https://bj.zu.ke.com/zufang/BJ2306561345698668544.html
大兴-天宫院南-御园小区,大兴-天宫院南-御园小区/59㎡/南/1室1厅1卫/中楼层（15层）,整租·御园小区1室1厅南,2200元/月,https://bj.zu.ke.com/zufang/BJ2300791152237871104.html
房山-良乡-昊天大街17号院,房山-良乡-昊天大街17号院/56㎡/南北/2室1厅1卫/中楼层（5层）,整租·昊天大街17号院2室1厅南/北,2200元/月,https://bj.zu.ke.com/zufang/BJ2332385105219158016.html
昌平-昌平其它-金科帕提欧,昌平-昌平其它-金科帕提欧/48㎡/南/1室1厅1卫/低楼层（9层）,整租·金科帕提欧1室1厅南,2200元/月,https://bj.zu.ke.com/zufang/BJ2333195698113626112.html
门头沟-门头沟其它-惠通新苑,门头沟-门头沟其它-惠通新苑/76㎡/南/2室1厅1卫/中楼层（18层）,整租·惠通新苑2室1厅南,2200元/月,https://bj.zu.ke.com/zufang/BJ2278739606834774016.html
房山-良乡-房山超级蜂巢,房山-良乡-房山超级蜂巢/41㎡/北/1室1厅1卫/中楼层（10层）,整租·房山超级蜂巢1室1厅北,2200元/月,https://bj.zu.ke.com/zufang/BJ2326760980895776768.html
房山-阎村-燕化星城建德二里,房山-阎村-燕化星城建德二里/77㎡/西北/2室2厅1卫/高楼层（6层）,整租·燕化星城建德二里2室2厅西北,2200元/月,https://bj.zu.ke.com/zufang/BJ2308426842371268608.html
门头沟-大峪-永新小区,门头沟-大峪-永新小区/61㎡/南/2室1厅1卫/高楼层（6层）,整租·永新小区2室1厅南,2200元/月,https://bj.zu.ke.com/zufang/BJ2209184965772443648.html
房山-良乡-首开熙悦睿府书香,房山-良乡-首开熙悦睿府书香/50㎡/北/2房间1卫/低楼层（15层）,整租·首开熙悦睿府书香2房间北,2200元/月,https://bj.zu.ke.com/zufang/BJ2231772449576321024.html
房山-良乡-昊天温泉家园,房山-良乡-昊天温泉家园/78㎡/东西/2室1厅1卫/低楼层（6层）,整租·昊天温泉家园2室1厅东/西,2200元/月,https://bj.zu.ke.com/zufang/BJ2302058298167263232.html
